,SKU,keyword,Category,Mapped keyword
476,Evie Hooded Down Jacket,"['evie', 'hooded', 'down', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
477,Brouel Short Down Coat,"['brouel', 'short', 'down', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
478,Stormont Quarter-Zip Sweater,"['stormont', 'quarter-zip', 'sweater']","Sweaters, Hoodies, Sweatshirts",sweater
479,M66 Utility Field Vest,"['m66', 'utility', 'field', 'vest']",Vests,vest
480,Adali Hooded Shearling Down Jacket,"['adali', 'hooded', 'shearling', 'down', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
481,Women's Flammette Down Coat with Stowable Hood,"['women', 'flammette', 'down', 'coat', 'with', 'stowable', 'hood']","Jackets, Coats, Parkas, and Bombers",coat
482,Ecrins Hooded Jacket,"['ecrins', 'hooded', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
483,Women's Ramsey Vintage Check High Top Sneakers,"['women', 'ramsey', 'vintage', 'check', 'high', 'top', 'sneakers']",Shirts and Tops,top
484,Aja Long Down Parka,"['aja', 'long', 'down', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
485,Colorblocked Zip Front Track Jacket,"['colorblocked', 'zip', 'front', 'track', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
486,Shearling Trimmed Parka,"['shearling', 'trimmed', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
487,Class V Nylon Blend Belted Relaxed Fit Cargo Shorts,"['class', 'v', 'nylon', 'blend', 'belted', 'relaxed', 'fit', 'cargo', 'shorts']",Bottoms,shorts
488,Otterburn Gilet,"['otterburn', 'gilet']",Vests,gilet
489,Acorus Down Puffer Jacket,"['acorus', 'down', 'puffer', 'jacket']","Jackets, Coats, Parkas, and Bombers",puffer
490,Arctic Disc Ribbed Wool Toque,"['arctic', 'disc', 'ribbed', 'wool', 'toque']",Headwear and Neckwear,toque
491,Men's Vintage Check Socks,"['men', 'vintage', 'check', 'socks']",Footwear,socks
492,Gui Vest,"['gui', 'vest']",Vests,vest
493,Better SweaterÂ® Performance Slim Quarter-Zip Pullover,"['better', 'sweatera', 'performance', 'slim', 'quarter-zip', 'pullover']",,NA
